Statistic Measure	Naive Bayes	Random Forest	SVM	KNN	My Method
Accuracy	0.9492907223218653	0.6787868905918799	0.959236915049731	0.954962298756878	0.9540192401760964
Precision	0.9496552580030926	0.6480566158735633	0.9569331995099466	0.9531088753227268	0.9506692656957996
Recall	0.9391793012678329	0.6474802808078509	0.95711363690372	0.9544536027470224	0.9530212115358154
F-Measure	0.9436794614877119	0.6475253388989671	0.9570141250976004	0.9537198543583326	0.951753212938932
